timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1622877583012,318,Create user request,201,Created,CreateUser 1-31,text,true,,972,225,24,26,https://reqres.in/api/users/,318,0,0
1622877583012,327,Create user request,201,Created,CreateUser 1-12,text,true,,968,228,22,24,https://reqres.in/api/users/,327,0,0
1622877582893,452,RegisterUser,400,Bad Request,CreateUser 1-50,text,false,,941,332,21,23,https://reqres.in/api/register,452,0,130
1622877582874,478,RegisterUser,400,Bad Request,CreateUser 1-49,text,false,,937,324,21,23,https://reqres.in/api/register,478,0,119
1622877582908,455,HTTP Request,404,Not Found,GetUser 2-8,text,false,,916,156,2,23,https://reqres.in/api/users/37,455,0,126
1622877583053,321,Create user request,201,Created,CreateUser 1-32,text,true,,973,229,21,22,https://reqres.in/api/users/,320,0,0
1622877583065,331,Create user request,201,Created,CreateUser 1-33,text,true,,967,227,20,21,https://reqres.in/api/users/,331,0,0
1622877583071,328,Create user request,201,Created,CreateUser 1-34,text,true,,962,226,19,20,https://reqres.in/api/users/,328,0,0
1622877583093,327,Create user request,201,Created,CreateUser 1-35,text,true,,971,223,18,19,https://reqres.in/api/users/,327,0,0
1622877583096,324,Create user request,201,Created,CreateUser 1-36,text,true,,969,224,18,19,https://reqres.in/api/users/,324,0,0
1622877583120,323,Create user request,201,Created,CreateUser 1-28,text,true,,978,228,16,17,https://reqres.in/api/users/,322,0,0
1622877583115,328,Create user request,201,Created,CreateUser 1-37,text,true,,970,230,16,17,https://reqres.in/api/users/,328,0,0
1622877583141,327,Create user request,201,Created,CreateUser 1-38,text,true,,972,226,14,15,https://reqres.in/api/users/,327,0,0
1622877583153,333,Create user request,201,Created,CreateUser 1-39,text,true,,978,228,13,14,https://reqres.in/api/users/,333,0,0
1622877583171,322,Create user request,201,Created,CreateUser 1-40,text,true,,968,224,12,13,https://reqres.in/api/users/,322,0,0
1622877583185,326,Create user request,201,Created,CreateUser 1-41,text,true,,974,228,11,12,https://reqres.in/api/users/,326,0,0
1622877583211,318,Create user request,201,Created,CreateUser 1-43,text,true,,964,224,10,11,https://reqres.in/api/users/,318,0,0
1622877583218,321,Create user request,201,Created,CreateUser 1-42,text,true,,963,228,9,10,https://reqres.in/api/users/,321,0,0
1622877583241,326,Create user request,201,Created,CreateUser 1-44,text,true,,966,231,8,9,https://reqres.in/api/users/,326,0,0
1622877583272,332,Create user request,201,Created,CreateUser 1-46,text,true,,969,225,7,8,https://reqres.in/api/users/,332,0,0
1622877583261,343,Create user request,201,Created,CreateUser 1-45,text,true,,967,224,7,8,https://reqres.in/api/users/,343,0,0
1622877583307,327,Create user request,201,Created,CreateUser 1-48,text,true,,974,228,5,6,https://reqres.in/api/users/,327,0,0
1622877583310,326,Create user request,201,Created,CreateUser 1-47,text,true,,971,229,4,5,https://reqres.in/api/users/,326,0,0
1622877583346,318,Create user request,201,Created,CreateUser 1-50,text,true,,977,231,3,4,https://reqres.in/api/users/,318,0,0
1622877583353,320,Create user request,201,Created,CreateUser 1-49,text,true,,970,226,2,3,https://reqres.in/api/users/,320,0,0
1622877582209,1529,HTTP Request,404,Not Found,GetUser 2-1,text,false,,908,156,1,2,https://reqres.in/api/users/33,1529,0,1204
1622877582347,2576,RegisterUser,400,Bad Request,CreateUser 1-18,text,false,,943,334,1,1,https://reqres.in/api/register,2576,0,2243
1622877584924,325,Create user request,201,Created,CreateUser 1-18,text,true,,963,227,1,1,https://reqres.in/api/users/,325,0,0
