timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1622878100650,3247,HTTP Request,201,Created,RegisterUser 1-7,text,true,,377,1389,22,22,http://127.0.0.1:8000/api/register/,,3247,ISO-8859-1,1,0,bullst,0,1194
1622878100649,3267,HTTP Request,201,Created,RegisterUser 1-9,text,true,,383,1376,21,21,http://127.0.0.1:8000/api/register/,,3267,ISO-8859-1,1,0,bullst,0,121
1622878100652,3285,HTTP Request,201,Created,RegisterUser 1-4,text,true,,384,1339,20,20,http://127.0.0.1:8000/api/register/,,3285,ISO-8859-1,1,0,bullst,0,1191
1622878100697,3260,HTTP Request,201,Created,RegisterUser 1-18,text,true,,376,1360,19,19,http://127.0.0.1:8000/api/register/,,3260,ISO-8859-1,1,0,bullst,0,73
1622878101237,2741,HTTP Request,201,Created,RegisterUser 1-50,text,true,,377,1365,18,18,http://127.0.0.1:8000/api/register/,,2741,ISO-8859-1,1,0,bullst,0,8
1622878100886,3115,HTTP Request,201,Created,RegisterUser 1-29,text,true,,380,1332,17,17,http://127.0.0.1:8000/api/register/,,3115,ISO-8859-1,1,0,bullst,0,2
1622878100835,3184,HTTP Request,201,Created,RegisterUser 1-26,text,true,,382,1403,16,16,http://127.0.0.1:8000/api/register/,,3184,ISO-8859-1,1,0,bullst,0,1008
1622878100982,3059,HTTP Request,201,Created,RegisterUser 1-35,text,true,,380,1368,15,15,http://127.0.0.1:8000/api/register/,,3059,ISO-8859-1,1,0,bullst,0,1
1622878100681,3380,HTTP Request,201,Created,RegisterUser 1-17,text,true,,377,1385,14,14,http://127.0.0.1:8000/api/register/,,3380,ISO-8859-1,1,0,bullst,0,89
1622878100899,3188,HTTP Request,201,Created,RegisterUser 1-30,text,true,,386,1385,13,13,http://127.0.0.1:8000/api/register/,,3187,ISO-8859-1,1,0,bullst,0,1
1622878100652,3457,HTTP Request,201,Created,RegisterUser 1-1,text,true,,378,1378,12,12,http://127.0.0.1:8000/api/register/,,3456,ISO-8859-1,1,0,bullst,0,1191
